,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
374,0.6281387031984406,-0.12668503850947369,0.354841777973707,0.17222151089603036,0.006272973226772172,-0.18175976233237034,0.003114936540848639,0.4746970412542638,-0.37551115851373307,0.17247764017146006,0.06811477535975867,6
1482,-0.2628243686067776,0.11910034592763141,0.564431504358574,-0.12719973047668937,0.23041146720330133,-0.5030573259444194,-0.4655164252944202,0.0960020394350579,0.04999888681257407,-0.21253972292820547,-0.04716662608172137,4
376,0.4538615980412663,-0.10798559010112854,0.29211901484802105,0.08127495592237927,-0.049975837115501305,0.07423218840958826,0.004019911590766526,0.4677946474378442,-0.08226088779760093,0.6623345244375481,0.13453532986783553,6
353,0.5065528227759128,0.0020722579913330986,0.4536110710468765,0.2730412937646629,0.11768381803390934,0.11596816863470405,0.15801976058856035,0.4558432051574617,-0.14458543536295212,0.1123415114005549,0.4117019051650377,5
494,-0.20319519550157245,-0.1496467904444578,-0.04089642491236234,0.794450771723988,-0.15064167486849153,0.22537085550836833,0.2632033777845871,-0.15933195781063067,0.16231200417009817,-0.1240468384970223,0.3059617164871034,6
219,-0.09213166456324832,0.003757403847205329,0.09353441634281395,-0.030390731357238646,-0.04897225004308294,0.23978431211413787,0.9152617216307887,-0.032169257963315954,-0.022220875224654858,-0.10589730611653957,-0.2673643022522409,5
1100,0.014342683009583263,-0.3259445266830634,0.23771927578778987,-0.09671050373851768,-0.10211531871450798,0.2116654455671129,-0.09888250466869226,-0.46539991481487,-0.40479009541509814,0.2233781064260406,0.5764838661886657,6
232,0.06898330627267374,-0.5869290401299774,-0.24262617656967514,0.12336361258493284,0.03584535947664971,0.135287203444237,0.2334523708571599,0.4422150444304429,0.1245977747148394,0.16441441580387492,-0.5142676200790112,6
74,0.26731827605700326,-0.39133507461733136,0.46564869749544807,-0.009280141398853905,0.04680588984650269,0.39084500908843933,0.3744552877747606,0.2953701531713924,-0.0679506512510443,0.32194853112851074,-0.2603918548547302,5
1059,0.11026251461298271,-0.08834206441182098,0.43984569839067644,0.3428169221330695,0.0951172137630615,-0.40715294107176214,-0.36671314366866326,-0.15540641158264829,-0.21664555909304567,-0.13299094716939627,0.5205552828005612,7
1277,-0.2809042010603349,0.33567926681357413,-0.5155433290733377,-0.16791834803915837,0.20893897900762437,-0.45617644529988355,-0.41086746882673647,-0.07593263787301074,0.09335111051001979,-0.1271393393757423,-0.25143912547166053,6
946,0.31147025821752344,-0.14144768773640093,0.4575083407759127,0.319343296557544,0.027779634819308875,-0.13440864415229936,-0.1969808346795018,0.10747376673422848,-0.039440507757994604,0.5646164108317117,0.4267881329311349,7
1574,-0.17517511598608956,-0.13642222855267203,0.29304298548847785,0.9036729181516584,-0.03208776386602041,0.07638985013685574,0.1552275343489203,0.0013857324680314797,0.057303264790634065,-0.11786358509860377,0.00810491424483454,6
318,0.387377905082742,0.33632232885007735,0.2783774027686595,0.21365928859313982,-0.043237446127886416,0.22322960664750352,0.17357329525277893,0.5198158158603393,0.17377938852445715,0.13936713353479457,0.4604582508061465,7
109,-0.02783080861588707,0.31686994016095676,0.28202848567522476,-0.08430972015878489,0.1618757532455657,0.4455564155027617,0.7144787732426569,0.017922350825986328,-0.14449113157417146,0.04145531366728054,-0.2324845250245201,5
10,-0.43391086479884083,0.13592755432591042,-0.45729028606961525,-0.24442111853399986,0.09448332874820617,-0.03901544888301003,0.2627837716671897,-0.2092549227403116,-0.09400283626166867,-0.325122815224742,-0.5353086551280344,5
1229,-0.27656798329354665,-0.3655469152021939,0.0653477002560901,-0.20825055273136825,-0.17723773485647443,0.19990963883478663,0.39730882187526395,0.15362852447753572,0.3852468709380373,-0.07164277669348282,-0.5795395136764667,5
49,-0.510593132842947,-0.39763783043053136,0.16616420365504483,-0.26402155560608404,-0.0935280778097335,-0.12109090514643758,0.49219850710560614,-0.2332395382591502,0.018815821014734727,-0.15070294852474492,-0.37513318839626336,5
1173,-0.19465282978956586,-0.4413844722199461,0.09434404813478306,-0.2801781007719367,-0.08471787733203491,0.4558584953478041,0.26531564019978987,0.10313555370147322,0.4541683382954562,-0.10598969817096313,-0.407888884926563,6
228,-0.2118053315243815,-0.32512788844231827,-0.06408335743002329,0.025830782548783078,-0.18293045765729293,0.7467682548945159,0.2991016626633039,-0.1881543563201208,0.2270026431207062,-0.2743829482479417,0.04301167432431612,6
